,0_differences_100_sample_std,2_differences_1000_sample_kurtosis,2_differences_10_sample_mean,0_differences_1000_sample_kurtosis,2_differences_100_sample_kurtosis,0_differences_100_sample_skewness,0_differences_10_sample_skewness,1_differences_10_sample_std,0_differences_10_sample_std,2_differences_100_sample_skewness,1_differences_100_sample_skewness,2_differences_10_sample_skewness,2_differences_100_sample_mean,0_differences_10_sample_kurtosis,1_differences_100_sample_mean,2_differences_10_sample_std,1_differences_1000_sample_kurtosis,1_differences_1000_sample_mean,1_differences_100_sample_kurtosis,0_differences_1000_sample_skewness,2_differences_10_sample_kurtosis,2_differences_100_sample_std,1_differences_100_sample_std,2_differences_1000_sample_skewness,2_differences_1000_sample_std,0_differences_1_sample_mean,1_differences_1_sample_mean,0_differences_1000_sample_mean,2_differences_1_sample_mean,1_differences_10_sample_kurtosis,1_differences_10_sample_mean,0_differences_100_sample_mean,1_differences_1000_sample_std,1_differences_10_sample_skewness,2_differences_1000_sample_mean,0_differences_1000_sample_std,0_differences_10_sample_mean,0_differences_100_sample_kurtosis,1_differences_1000_sample_skewness
1996,212.8553053059559,3.4519884322540157,-0.021766666666666663,3.7691767566022873,3.8874624062300094,0.21642695518942354,0.24129377017187967,0.2244155978499118,18.946990607768253,0.31672933578790463,0.1703945621592384,0.19276234189726554,-0.021766666666666677,1.8571457578413786,-0.02147166666666667,0.15155365386555353,3.0499186460012284,-0.021471666666666677,2.6741002788234494,-0.09550533033981216,2.159281299124628,1.9178653763146847,1.701008163324686,0.051508263108102685,18.305942995559302,-1.6095683333333333,-0.021471666666666667,-1.6095683333333273,-0.021766666666666667,2.5864987982063243,-0.02147166666666666,-1.6095683333333293,17.823297396113556,-0.17619753045396572,-0.021766666666666757,2821.5707723227097,-1.6095683333333342,2.972874125825754,0.12428408524580664
3005,7.713129462082459,9.967756941708714,-3.3333333333334934e-06,9.312893123314891,8.385967541103339,-1.3754536655999785,-0.8127512744069034,0.017050421630498695,0.9189935851910078,0.7176508424733633,-0.29875163333141963,-0.0024116601450605416,-3.333333333337622e-06,3.5318222645408914,-3.333333333333695e-06,0.0071925455237426975,16.56564941937389,-3.333333333322308e-06,4.646900151783352,-0.2574921234059228,2.7100871741964907,0.12847314241592372,0.2772295458640727,0.22662586606681498,1.3819434624188582,-0.2681733333333333,-3.3333333333333333e-06,-0.268173333333333,-3.3333333333333333e-06,1.7686457148782302,-3.3333333333335578e-06,-0.26817333333333343,2.905431204369193,-0.1767196062842466,-3.3333333333389614e-06,54.90055126146994,-0.26817333333333326,9.584687747211959,0.023924659418587547
"A Change Is Gonna Come (feat. Radical Son, Nooky & Sky'High)",5.877915709434954,3.653298535965862,-0.0007550000000000008,4.145364853612394,4.628612765342558,0.31120666878207504,-0.4940475490024369,0.027886967336414017,0.2664651722083019,-0.3025092301783688,0.17961639004491198,-0.297320865613157,-0.0007550000000000068,3.106031395841771,0.001811666666666663,0.046220555221675994,4.538115610248591,0.0018116666666666622,3.8180939020202582,0.044863810275843866,1.4148796668868489,0.35237730761137903,0.3125165628099662,0.06610259297458494,2.747330791367727,0.0173,0.0018116666666666667,0.01730000000000017,-0.000755,3.2926756900282195,0.001811666666666667,0.01730000000000004,2.8173216779963792,-0.41875722177001506,-0.0007549999999999919,65.24694208955526,0.017300000000000003,4.788816011209108,0.15042996354356722
A.I.M. Fire!,28.86639100060811,4.883689255202607,-0.0007666666666666669,5.551440435086739,3.413878164205854,0.22935808792350595,-0.40330376232821064,0.11363026978367652,4.24852284325453,-0.05705954544300108,-0.6685680857790829,-0.3799779961819854,-0.0007666666666666468,2.4309790337063086,0.004186666666666665,0.22823208059146968,5.322657191341562,0.004186666666666681,3.952573640966337,-0.15510882628869277,2.5888076012948282,2.315681051248447,1.3852714800676755,-0.0554573610119468,21.31603276829178,-2.544836666666667,0.004186666666666667,-2.544836666666666,-0.0007666666666666667,2.7744711192188496,0.004186666666666667,-2.5448366666666655,12.991860571340641,-0.29127007818983464,-0.0007666666666665733,153.12466352768834,-2.544836666666667,3.150270267088598,0.002071250074574866
Act Your Age,106.86210345358393,4.256104499909292,-0.005103333333333334,5.843023126217798,2.947733527659713,0.3789803709947369,0.7524018388954866,0.06304212262448021,4.984017023301418,0.31096924612007554,-0.18742172234101853,0.18138619567112357,-0.005103333333333359,3.024041179407098,0.0013616666666666766,0.09754549588098195,6.378080641658691,0.0013616666666666076,3.8139057664249822,-0.33329292423741486,2.383255860533091,0.851915330554236,0.782145547358532,-0.21518131133023594,8.490570181114654,-0.562445,0.0013616666666666666,-0.5624450000000076,-0.005103333333333333,2.3373119603193415,0.0013616666666666653,-0.5624449999999998,8.86615939612697,0.19047382336965094,-0.005103333333333351,1055.0956799905096,-0.562445,5.514418844370974,0.154034117114764
Act Yr Age,324.7520169171795,3.3692771737746283,-0.01096333333333333,9.784279654420345,4.526216440676159,0.4366687419612993,0.6668866038357305,0.21884106866247324,122.04345832937516,0.4643489191996854,0.38170013460597246,0.3812557083711927,-0.010963333333333302,1.8621908618291216,0.00018333333333335865,0.19257690654212237,7.4499856469872965,0.0001833333333330849,3.3696198656056127,-0.4497046398261104,2.4863541512515215,1.7085421497710978,1.973234390467139,-0.09423320803886871,15.113689927045538,187.71455333333333,0.00018333333333333334,187.71455333333336,-0.010963333333333334,2.1626949712969705,0.00018333333333333084,187.71455333333336,20.71415849645814,-0.29152763591797365,-0.010963333333333465,3400.099985565011,187.71455333333333,3.5898427257667964,0.22008109251688096
Afterlife,109.21041884689753,4.8022406195329035,-0.0007333333333333334,37.45879536159749,3.8884376677347032,-0.21500084226677693,1.5665480429095242,0.010225260252053354,9.493620753997567,-0.030644296394399615,-0.4063544484592993,-1.3854841434382403,-0.0007333333333333258,5.613011333951447,0.0012950000000000088,0.02136342409092908,19.292486791591653,0.00129499999999994,5.873635332115471,1.262533603246173,4.213194506564229,0.32164927241398267,0.46487986970052575,0.13037708544900228,3.463577923028279,-0.00229,0.001295,-0.0022900000000048238,-0.0007333333333333333,2.1413552625991388,0.0012950000000000004,-0.002289999999999477,5.800543066355225,0.5832188865584708,-0.000733333333333338,1007.2264646404944,-0.0022899999999999475,15.805818120979016,0.18068406508108983
Air,22.835742314875358,3.8245677184702416,0.0013166666666666665,4.504842825521876,3.007731344790284,0.17073231278677503,0.24763679782209258,0.04009462228418059,3.2233215585272696,0.007061273902404667,-0.061835923492326826,-0.6504556661251691,0.001316666666666666,2.2274462800894046,0.0018416666666666657,0.009347599216435796,3.837762697319894,0.0018416666666666668,4.522784892897087,0.18608815855895983,2.1639074158314324,0.11453492068166614,0.40899047080382367,0.24719369371050656,1.0418150799606105,-0.08298333333333334,0.0018416666666666666,-0.08298333333333482,0.0013166666666666667,2.486803937867104,0.0018416666666666668,-0.08298333333333335,3.934279664399613,-0.12111688313197323,0.0013166666666666784,235.5341857279598,-0.08298333333333333,4.311202574603936,-0.05763581843611539
Alive,21.342574892043576,2.793441466547907,-0.012769999999999998,2.746333719507896,3.5602122917454926,-0.015093525498247964,0.2721369351846705,0.11016984767217894,2.5143469614041383,0.3164796242918912,0.047535746064098446,0.5331447111908153,-0.012770000000000002,2.031428782959916,-0.00386166666666664,0.14899600121405196,2.91861467971666,-0.0038616666666666274,2.64690556432351,0.0002217638401919746,1.9308118327487525,1.4000131977116024,0.918482992056588,0.05104325923738797,15.991907901060113,0.7399133333333333,-0.0038616666666666665,0.7399133333333335,-0.01277,2.8760917911333723,-0.0038616666666666704,0.7399133333333333,10.963226959110854,0.06875302595763631,-0.012770000000000205,205.1196678745747,0.7399133333333335,2.7445205773292782,0.01662074529711714
All I Want Is You,93.02709000000866,12.217395314002598,0.0012250000000000004,21.38483639046724,5.121761182775984,-0.6719722590084439,-1.5660752778061988,0.0147145562850759,2.6204919685984325,-0.01918568095743463,0.4566092515178608,0.6955940719399407,0.0012249999999999922,5.171209002978911,0.0005166666666666686,0.04272823438768432,19.856087914794106,0.0005166666666666346,8.681017770800276,-0.38313543195457034,2.9389189926808577,0.426789517714008,0.4819153317175585,0.39863381339530385,4.34728072566154,-0.3342466666666667,0.0005166666666666667,-0.3342466666666687,0.001225,1.7676973185257088,0.0005166666666666664,-0.3342466666666661,6.042873524036392,-0.2377610420574295,0.0012249999999999917,1278.4636500374643,-0.3342466666666667,11.13269419157543,-1.0485571658594603
