,2_differences_1000_sample_mean,2_differences_1_sample_skewness,1_differences_10_sample_kurtosis,0_differences_100_sample_kurtosis,0_differences_1_sample_skewness,1_differences_100_sample_skewness,1_differences_1_sample_kurtosis,2_differences_1000_sample_skewness,1_differences_1000_sample_std,1_differences_1_sample_skewness,0_differences_1_sample_std,0_differences_1_sample_mean,0_differences_100_sample_skewness,1_differences_1_sample_mean,2_differences_10_sample_kurtosis,2_differences_1000_sample_kurtosis,2_differences_1_sample_kurtosis,0_differences_1000_sample_mean,2_differences_1_sample_std,2_differences_10_sample_mean,0_differences_1_sample_kurtosis,0_differences_100_sample_std,0_differences_100_sample_mean,1_differences_1000_sample_mean,1_differences_1_sample_std,2_differences_10_sample_std,2_differences_100_sample_kurtosis,0_differences_10_sample_skewness,1_differences_100_sample_mean,2_differences_1000_sample_std,2_differences_100_sample_std,1_differences_1000_sample_skewness,0_differences_1000_sample_kurtosis,1_differences_10_sample_skewness,0_differences_10_sample_mean,1_differences_100_sample_std,2_differences_1_sample_mean,2_differences_10_sample_skewness,1_differences_1000_sample_kurtosis,1_differences_10_sample_std,2_differences_100_sample_mean,0_differences_1000_sample_std,0_differences_10_sample_std,0_differences_10_sample_kurtosis,2_differences_100_sample_skewness,1_differences_10_sample_mean,0_differences_1000_sample_skewness,1_differences_100_sample_kurtosis
13 Joy To The World.mp3,0.00354333333333,,3.01208321584,5.31986646498,,-0.387728497859,,0.195678666693,25.3333916679,,0.0,180.659445,0.10829765391,0.00123666666667,2.08611633913,5.63579599635,,180.659445,0.0,0.00354333333333,,268.054169136,180.659445,0.00123666666667,0.0,0.0681438626078,6.79312508049,-1.12680320331,0.00123666666667,5.57672177053,0.698344418218,-0.00704974271087,5.03417428384,-0.66979222348,180.659445,2.42231773677,0.00354333333333,-0.448971696248,3.59321212715,0.275404232881,0.00354333333333,2479.57158028,58.6685406331,4.37285290947,0.387366579044,0.00123666666667,0.0276926763485,2.89033202884
13 Til Kingdom Come.mp3,0.001335,,2.3409269427,5.6495893602,,0.664437022257,,0.676244991075,7.88660581325,,0.0,-0.437978333333,0.422441195782,-0.00323166666667,3.83004062017,12.4100519427,,-0.437978333333,0.0,0.001335,,45.6513153605,-0.437978333333,-0.00323166666667,0.0,0.0398411397162,11.1600950794,-0.679380924836,-0.00323166666667,6.82835543431,0.61782700046,0.447705133641,5.29271598664,0.0627246309627,-0.437978333333,0.724200980351,0.001335,-0.106355964931,6.85221301359,0.0483642398024,0.001335,460.856467316,2.51344120777,3.34927915597,1.11277453506,-0.00323166666667,0.269776007128,4.19011997803
13 We Can Work It Out.m4a,-0.000505,,2.39304702897,4.4005953159,,0.069852520936,,0.0342227406441,17.3911814093,,0.0,-8.07785,-0.120152303506,-0.00383166666667,2.79455681712,5.15201869201,,-8.07785,0.0,-0.000505,,102.724180217,-8.07785,-0.00383166666667,0.0,0.194131285768,3.44159067161,0.312176167803,-0.00383166666667,17.3843477947,1.92196812169,0.0271555544938,3.29038957592,-0.366281058308,-8.07785,2.00414225384,-0.000505,-0.756345714815,5.34739864333,0.193041901676,-0.000505,1481.51789617,11.4589700611,2.37675973081,-0.202320672439,-0.00383166666667,-0.00756053639748,3.36023140644
14 Frank Sinatra Hits Medley.mp3,0.012875,,1.74514108861,6.08938233591,,-0.014994495123,,-0.0541190035625,8.11105327706,,0.0,2.49344333333,0.35249509527,-0.00232333333333,2.10679146451,4.42610762123,,2.49344333333,0.0,0.012875,,88.8899888989,2.49344333333,-0.00232333333333,0.0,0.0810935359289,2.67691670655,-0.466649202539,-0.00232333333333,9.35619065785,0.8572386114,0.00554589468196,4.71323503546,-0.218427086896,2.49344333333,0.704889172857,0.012875,-0.561133050864,3.72455174613,0.048152743201,0.012875,879.192642242,8.96350878536,2.99022692709,-0.173388630321,-0.00232333333333,0.0992594210497,3.25674601301
14 Mazurka No.5 in B flat - Op.7 No.1.mp3,0.000893333333333,,2.92840374388,3.00943813633,,-0.916185427535,,-0.120049598878,4.10075548012,,0.0,-71.7502033333,0.736921846124,-0.000308333333333,2.85810539293,6.15114553433,,-71.7502033333,0.0,0.000893333333333,,27.7302837894,-71.7502033333,-0.000308333333333,0.0,0.0210709320576,6.76046524551,0.918519898514,-0.000308333333333,3.69463126137,0.424454003868,0.162830762072,4.80706767247,-0.464507699041,-71.7502033333,0.467343086189,0.000893333333333,0.786438932762,6.5238262796,0.0433569751213,0.000893333333333,182.118195957,20.1839231877,2.53707150919,-0.00550922604965,-0.000308333333333,0.156648547438,6.96562666714
14 Paperback Writer.mp3,-0.01388,,1.902452869,3.34606977231,,0.261808366694,,0.0496321131918,11.1310788659,,0.0,-5.40444833333,-0.31537989098,-0.00680666666667,2.5606012004,3.79585729362,,-5.40444833333,0.0,-0.01388,,22.7934145046,-5.40444833333,-0.00680666666667,0.0,0.120924662681,2.51838746371,-0.466137857218,-0.00680666666667,12.8242467715,1.44476865124,-0.0102094621021,4.73387383079,0.38890640924,-5.40444833333,1.19489858768,-0.01388,-1.03796186249,3.78469453177,0.116937163848,-0.01388,205.737754274,2.01507515872,2.95982125531,-0.0401091898393,-0.00680666666667,0.102978157628,4.10539313179
15 Yellow Submarine.m4a,-0.00272666666667,,1.58736833513,3.42529844075,,0.298715483892,,-0.063575996155,14.8268095509,,0.0,-8.60626666667,0.361952348127,-5e-06,2.51489795157,3.87905375739,,-8.60626666667,0.0,-0.00272666666667,,151.061716381,-8.60626666667,-4.99999999976e-06,0.0,0.133762375378,2.96972038407,-0.152700339428,-5e-06,13.8878461271,1.32126265273,-0.284685117015,3.72409971535,0.120547336146,-8.60626666667,1.31510813845,-0.00272666666667,0.58679556562,3.72843539714,0.119973472079,-0.00272666666667,2077.56248818,20.9474193641,2.78170657473,0.127605442339,-5e-06,0.04534821857,3.54371312149
16 Eleanor Rigby.mp3,0.00056,,2.75336009346,4.53642233425,,-0.556041237145,,-0.0263486842653,15.1990230148,,0.0,-5.11385,0.170212658628,-0.00338333333333,4.29371223836,5.42226016497,,-5.11385,0.0,0.00056,,75.8881959316,-5.11385,-0.00338333333333,0.0,0.133622988541,6.7560879777,-0.676938388159,-0.00338333333333,12.5086745866,1.32401548634,-0.000336673214443,4.66265265939,0.656144097983,-5.11385,1.56698352868,0.00056,0.718828496274,3.61436784398,0.163521270788,0.00056,715.971345138,5.48300920106,4.00061323688,0.366301238825,-0.00338333333333,0.146072711367,4.06861463022
17 Penny Lane.mp3,0.01583,,3.47016117503,2.50181295578,,-0.150945654608,,0.316027563831,20.8710247666,,0.0,-7.87381333333,-0.155296384106,0.0397883333333,3.74609077481,9.65417474458,,-7.87381333333,0.0,0.01583,,181.113622758,-7.87381333333,0.0397883333333,0.0,0.0481624829786,3.20549139676,0.103812572078,0.0397883333333,6.08407866028,0.574336576205,-0.0399388815399,3.48685434438,0.882084980893,-7.87381333333,2.14780695774,0.01583,1.01732928753,2.8729951286,0.21705025558,0.01583,1477.22663803,23.6414131194,1.98595305489,0.200429028832,0.0397883333333,-0.0280486102651,2.5195234115
18 All You Need Is Love.mp3,-0.00373166666667,,3.57386234406,4.6335240891,,0.070481285659,,-0.385223442534,9.13282328881,,0.0,-5.23393833333,0.148259494896,-0.00228166666667,3.77978811591,5.36866416427,,-5.23393833333,0.0,-0.00373166666667,,15.4980636478,-5.23393833333,-0.00228166666667,0.0,0.190966104679,4.27051357673,0.465066104122,-0.00228166666667,8.9781930977,1.24762870944,-0.0933190338881,15.7949721905,0.530432063202,-5.23393833333,1.19610534158,-0.00373166666667,0.0594083567358,5.57237255289,0.171712322804,-0.00373166666667,180.12448836,1.52036835995,2.40368333478,0.308022404424,-0.00228166666667,0.460287757056,4.99738337404
